steam_id,playtime_forever
76561198036657265,21
76561198072007760,19
76561198029274175,9
76561198059604675,7
76561198048350311,4
76561197977525575,4
76561198042148866,2
76561198102464746,1
76561198056194879,0
76561198064621980,0
76561198071029382,0
76561197964334210,0
76561198048151962,0
76561198082166693,0
76561198095049646,0
76561198097949523,0
76561198102767019,0
76561198118965684,0
76561198119803063,0
76561198075300723,0
76561198044920564,0
76561198046450367,0
76561197970723780,0
76561198041993727,0
76561198035864385,0
76561198026409973,0
76561198019137995,0
76561198011533373,0
76561198001518866,0
76561198000537256,0
76561197995207074,0
76561197992160513,0
76561197991699268,0
76561197989616184,0
76561197971076715,0
76561198122883605,0
