steam_id,playtime_forever
76561198007282725,1782253
76561198034699157,1660469
76561197995207074,1471875
76561198043711805,1105092
76561198088687428,1079468
76561197963293081,1067271
76561198027477827,1051741
76561198146840693,887756
76561198072533733,886125
76561197965966319,807956
76561198061797577,797751
76561197999051843,782381
76561197999474117,781586
76561198028206815,757934
76561198034392454,721475
76561198034213146,662266
76561198013828918,637313
76561197961702279,624161
76561198040690781,622176
76561197981425218,593631
76561197969131337,589576
76561198032466454,588454
76561198020974455,587568
76561198062232099,586516
76561197967613238,574911
76561197977470391,563598
76561198056623795,540847
76561197992800166,539216
76561197973055702,521432
76561197969956494,520954
76561198059924258,515939
76561198029090446,511881
76561198036455045,508557
76561197964218274,507823
76561198017487896,507282
76561198008181611,506453
76561198123168383,500205
76561198070198955,497954
76561198004054009,496201
76561198016685643,496194
76561197970545566,496134
76561197999474145,493100
76561198102767019,483413
76561198035654499,476652
76561197963279088,475519
76561198060797110,473004
76561198065322400,471569
76561198025107925,470430
76561197961844102,470093
76561198025647301,465237
76561198043782375,461237
76561198012691048,460965
76561198104882368,458779
76561197994367028,458512
76561198031235794,457763
76561198040933995,455339
76561197984225382,453569
76561197962907124,452269
76561198003388886,450844
76561198015984056,449911
76561198010653835,448100
76561198045536578,437845
76561198027114566,436979
76561198043532286,436893
76561198047208452,436593
76561198048136230,433176
76561198020133414,430015
76561198116863462,428133
76561197960478966,428004
76561198010776633,427735
76561197977246575,425621
76561198001518866,421593
76561197996747515,421436
76561198000592316,420685
76561197970843911,419521
76561197987397827,418313
76561197967621845,416896
76561198027093071,412498
76561198006894551,410442
76561198042170355,410266
76561198010803705,409952
76561198018592645,409096
76561198032437647,406956
76561197961112434,406137
76561198023743093,405978
76561198000537256,405589
76561198070416145,405271
76561198060969570,400981
76561198029596731,399136
76561197976724854,398133
76561198062044298,397990
76561198118965684,397947
76561198050414588,397241
76561198011772653,397174
76561197999199969,395723
76561198064619260,391179
76561198044511328,390165
76561197983184440,389969
76561198076094895,386616
76561197978756659,386587
76561197997316526,384429
76561198086282677,384055
76561198098426469,383976
76561198086575203,383609
76561198048163741,383422
76561198041472164,382994
76561198010561736,381401
