item_id,item_name,playtime_forever,playtime_2weeks
300,Day of Defeat: Source,0,0
20,Team Fortress Classic,0,0
30,Day of Defeat,0,0
40,Deathmatch Classic,0,0
50,Half-Life: Opposing Force,0,0
60,Ricochet,0,0
70,Half-Life,17,0
130,Half-Life: Blue Shift,0,0
220,Half-Life 2,0,0
340,Half-Life 2: Lost Coast,0,0
280,Half-Life: Source,0,0
360,Half-Life Deathmatch: Source,0,0
320,Half-Life 2: Deathmatch,0,0
380,Half-Life 2: Episode One,0,0
4000,Garry's Mod,1186,0
400,Portal,0,0
420,Half-Life 2: Episode Two,0,0
500,Left 4 Dead,0,0
34900,Bad Rats,0,0
550,Left 4 Dead 2,861,0
223530,Left 4 Dead 2 Beta,0,0
40800,Super Meat Boy,50,0
42910,Magicka,0,0
620,Portal 2,123,0
105600,Terraria,4013,0
730,Counter-Strike: Global Offensive,119636,854
230410,Warframe,0,0
224760,FEZ,0,0
221680,Rocksmith 2014,504,134
252490,Rust,11667,1887
221910,The Stanley Parable,141,0
265930,Goat Simulator,47,0
211820,Starbound,293,0
367540,Starbound - Unstable,0,0
295110,H1Z1: Just Survive,438,0
362300,H1Z1: Just Survive Test Server,0,0
433850,H1Z1: King of the Kill,0,0
439700,H1Z1: King of the Kill Test Server,0,0
304930,Unturned,588,0
205790,Dota 2 Test,0,0
322170,Geometry Dash,244,0
10,Counter-Strike,41,0
80,Counter-Strike: Condition Zero,0,0
100,Counter-Strike: Condition Zero Deleted Scenes,0,0
240,Counter-Strike: Source,484,0
250900,The Binding of Isaac: Rebirth,771,0
505040,FORTIFY,94,0
