item_id,item_name,playtime_forever,playtime_2weeks
240,Counter-Strike: Source,301,0
4000,Garry's Mod,8842,0
7940,Call of Duty 4: Modern Warfare,57,0
12210,Grand Theft Auto IV,2152,0
33910,Arma 2,7,0
550,Left 4 Dead 2,11532,0
223530,Left 4 Dead 2 Beta,0,0
42650,Transformers: War for Cybertron,790,0
33930,Arma 2: Operation Arrowhead,8881,0
219540,Arma 2: Operation Arrowhead Beta (Obsolete),2,0
65700,Arma 2: British Armed Forces,3,0
42700,Call of Duty: Black Ops,961,0
42710,Call of Duty: Black Ops - Multiplayer,3980,0
65720,Arma 2: Private Military Company,0,0
105600,Terraria,59,0
42680,Call of Duty: Modern Warfare 3,352,0
42690,Call of Duty: Modern Warfare 3 - Multiplayer,1126,0
205790,Dota 2 Test,0,0
207610,The Walking Dead,864,0
104900,ORION: Prelude,345,0
91310,Dead Island,1576,0
730,Counter-Strike: Global Offensive,124648,1751
200710,Torchlight II,345,0
220240,Far Cry® 3,4763,0
202970,Call of Duty: Black Ops II,396,0
202990,Call of Duty: Black Ops II - Multiplayer,8212,0
212910,Call of Duty: Black Ops II - Zombies,2501,0
102700,A.V.A - Alliance of Valiant Arms,0,0
113400,APB Reloaded,20246,0
218230,PlanetSide 2,1516,0
230410,Warframe,4581,1743
234310,March of War,896,0
236390,War Thunder,2641,0
243870,Tom Clancy's Ghost Recon Phantoms - NA,1168,0
206480,Dungeons & Dragons Online®,181,0
209870,Blacklight: Retribution,2092,0
214420,Gear Up,118,0
237310,Elsword,0,0
265630,Fistful of Frags,18,0
224260,No More Room in Hell,1473,0
253710,theHunter,51,0
224580,Arma 2: DayZ Mod,41,0
203160,Tomb Raider,792,0
226700,Infestation: Survivor Stories Classic,6956,0
216250,Dead Island Riptide,1328,0
234710,Poker Night 2,51,0
209160,Call of Duty: Ghosts,406,0
209170,Call of Duty: Ghosts - Multiplayer,724,0
218620,PAYDAY 2,6024,0
249990,FORCED,380,0
252490,Rust,34873,0
107410,Arma 3,7287,0
241540,State of Decay,2797,0
247910,Sniper Elite: Nazi Zombie Army 2,254,0
238430,Contagion,456,0
263440,The Stomping Land,786,0
221100,DayZ,3023,0
247730,Nether,836,0
271590,Grand Theft Auto V,3854,0
295110,H1Z1: Just Survive,7906,0
362300,H1Z1: Just Survive Test Server,0,0
433850,H1Z1: King of the Kill,1438,0
439700,H1Z1: King of the Kill Test Server,0,0
222900,Dead Island: Epidemic,103,0
225600,Blade Symphony,0,0
304050,Trove,134,0
304930,Unturned,630,0
224600,Defiance,51,0
9900,Star Trek Online,1139,0
268420,Aura Kingdom,1,0
227940,Heroes & Generals,6322,610
313740,Sakura Spirit,3,0
317110,Uncharted Waters Online: Episode Atlantis,18,0
258160,Rise of Incarnates,0,0
323370,TERA,2885,0
17570,"Pirates, Vikings, & Knights II",227,0
298110,Far Cry 4,1773,0
338540,Navy Field 2 : Conqueror of the Ocean,181,0
339610,FreeStyle2: Street Basketball,1,0
239140,Dying Light,1816,0
346330,BrainBread 2,59,0
356310,METAL SLUG DEFENSE,15,0
232090,Killing Floor 2,608,0
232150,Killing Floor 2 - SDK,0,0
3700,Sniper Elite,0,0
63380,Sniper Elite V2,0,0
238090,Sniper Elite 3,1202,0
380600,Fishing Planet,20,0
383080,Sakura Clicker,103,0
386360,SMITE,1,1
391460,WARMODE,4,0
393420,Hurtworld,2854,0
445900,Hurtworld SDK,0,0
57300,Amnesia: The Dark Descent,423,0
407530,ARK: Survival Of The Fittest,8,0
407840,ORION,55,0
280790,Creativerse,631,0
105450,Age of Empires® III: Complete Collection,1331,0
221380,Age of Empires II: HD Edition,0,0
355950,Age of Empires II HD: The African Kingdoms,0,0
466910,Worm.is: The Game,27,0
273350,Evolve Stage 2,588,336
