item_id,item_name,playtime_forever,playtime_2weeks
220,Half-Life 2,0,0
240,Counter-Strike: Source,91675,0
280,Half-Life: Source,18,0
320,Half-Life 2: Deathmatch,0,0
340,Half-Life 2: Lost Coast,0,0
360,Half-Life Deathmatch: Source,0,0
29640,Aion,9,0
20530,Red Faction,0,0
10180,Call of Duty: Modern Warfare 2,413,0
10190,Call of Duty: Modern Warfare 2 - Multiplayer,20452,0
34330,Total War: SHOGUN 2,2960,0
205790,Dota 2 Test,0,0
49520,Borderlands 2,101,0
217490,Borderlands 2 RU,0,0
730,Counter-Strike: Global Offensive,13600,0
230410,Warframe,1458,0
282660,EAC eSports,0,0
301520,Robocraft,0,0
304030,ArcheAge,0,0
304050,Trove,68,0
333930,Dirty Bomb,141,0
339610,FreeStyle2: Street Basketball,0,0
339280,Strife,138,0
393410,World of Soccer online,0,0
