item_id,item_name,playtime_forever,playtime_2weeks
4000,Garry's Mod,133,0
6060,STAR WARS™ Battlefront™ II,19,0
32370,STAR WARS™: Knights of the Old Republic™,74,0
15620,"Warhammer® 40,000™: Dawn of War® II",428,0
20570,"Warhammer® 40,000™: Dawn of War® II - Chaos Rising™",248,0
1250,Killing Floor,5320,0
12900,Audiosurf,398,0
15500,The Wonderful End of the World,328,0
15520,AaAaAA!!! - A Reckless Disregard for Gravity,0,0
15540,1... 2... 3... KICK IT! (Drop That Beat Like an Ugly Baby),0,0
18500,Defense Grid: The Awakening,194,0
26500,Cogs,13,0
35420,Killing Floor Mod: Defence Alliance 2,0,0
35460,The Ball,0,0
38700,Toki Tori,0,0
38720,RUSH,0,0
40800,Super Meat Boy,29,0
57300,Amnesia: The Dark Descent,83,0
63700,BIT.TRIP BEAT,42,0
105600,Terraria,13515,53
72200,Universe Sandbox,50,0
91700,E.Y.E: Divine Cybermancy,0,0
200390,Oil Rush,27,0
207690,Botanicula,0,0
209790,Splice,22,0
209080,Guns of Icarus Online,2315,0
208580,STAR WARS™ Knights of the Old Republic™ II: The Sith Lords™,0,0
203140,Hitman: Absolution,0,0
205930,Hitman: Sniper Challenge,0,0
47410,Stronghold Kingdoms,3542,0
234310,March of War,0,0
206480,Dungeons & Dragons Online®,1337,0
203160,Tomb Raider,0,0
221380,Age of Empires II: HD Edition,2910,0
220200,Kerbal Space Program,74,0
242920,Banished,4382,0
239030,"Papers, Please",31,0
218620,PAYDAY 2,0,0
251570,7 Days to Die,127,0
253250,Stonehearth,1169,0
268650,From The Depths,227,0
8930,Sid Meier's Civilization V,276,0
550,Left 4 Dead 2,0,0
223530,Left 4 Dead 2 Beta,0,0
48700,Mount & Blade: Warband,3585,0
246900,Viscera Cleanup Detail,129,0
255520,Viscera Cleanup Detail: Shadow Warrior,0,0
265210,Viscera Cleanup Detail: Santa's Rampage,0,0
35450,Rising Storm/Red Orchestra 2 Multiplayer,0,0
236830,Red Orchestra 2: Heroes of Stalingrad - Single Player,0,0
301520,Robocraft,527,0
304930,Unturned,2528,0
227940,Heroes & Generals,17,0
10,Counter-Strike,0,0
80,Counter-Strike: Condition Zero,0,0
100,Counter-Strike: Condition Zero Deleted Scenes,0,0
240,Counter-Strike: Source,0,0
730,Counter-Strike: Global Offensive,0,0
255710,Cities: Skylines,468,0
232090,Killing Floor 2,589,0
232150,Killing Floor 2 - SDK,0,0
364360,Total War: WARHAMMER,1565,0
