item_id,item_name,playtime_forever,playtime_2weeks
6910,Deus Ex: Game of the Year Edition,67,0
6920,Deus Ex: Invisible War,0,0
220,Half-Life 2,1699,0
320,Half-Life 2: Deathmatch,0,0
340,Half-Life 2: Lost Coast,1,0
360,Half-Life Deathmatch: Source,0,0
380,Half-Life 2: Episode One,1165,0
400,Portal,282,0
420,Half-Life 2: Episode Two,908,0
550,Left 4 Dead 2,1373,0
223530,Left 4 Dead 2 Beta,0,0
43110,Metro 2033,151,0
57300,Amnesia: The Dark Descent,24,0
70300,VVVVVV,407,0
35130,Lara Croft and the Guardian of Light,0,0
21100,F.E.A.R. 3,0,0
40800,Super Meat Boy,97,0
620,Portal 2,2255,0
105600,Terraria,33,0
21090,F.E.A.R.,615,0
21110,F.E.A.R.: Extraction Point,0,0
21120,F.E.A.R.: Perseus Mandate,0,0
16450,F.E.A.R. 2: Project Origin,0,0
50130,Mafia II,0,0
32800,The Lord of the Rings: War in the North,0,0
205790,Dota 2 Test,95,0
67370,The Darkness II,724,0
48000,LIMBO,687,0
22380,Fallout: New Vegas,245,0
205730,Insanely Twisted Shadow Planet,0,0
209330,A Valley Without Wind,0,0
228320,A Valley Without Wind 2,0,0
50300,Spec Ops: The Line,1745,0
205350,Mortal Kombat Kollection,0,0
200260,Batman: Arkham City GOTY,6298,0
35140,Batman: Arkham Asylum GOTY Edition,1381,0
200510,XCOM: Enemy Unknown,195,0
206440,To the Moon,193,0
203140,Hitman: Absolution,364,0
218680,Scribblenauts Unlimited,623,0
113020,Monaco,563,0
220440,DmC Devil May Cry,793,0
203160,Tomb Raider,3111,0
219890,Antichamber,432,0
232450,SolForge,0,0
240380,Solstice Arena,383,0
21690,Resident Evil 5 / Biohazard 5,0,0
222480,Resident Evil Revelations / Biohazard Revelations,0,0
65930,The Bureau: XCOM Declassified,259,0
228300,Remember Me,82,0
43160,Metro: Last Light,600,0
72850,The Elder Scrolls V: Skyrim,3167,0
219740,Don't Starve,37,0
322330,Don't Starve Together,0,0
224060,Deadpool,1629,0
206420,Saints Row IV,2995,10
248820,Risk of Rain,1391,0
218620,PAYDAY 2,3356,0
209000,Batman™: Arkham Origins,4466,0
111900,Guardians of Middle-earth,0,0
266110,Tower of Guns,32,0
7670,BioShock,1208,0
8850,BioShock 2,127,0
8870,BioShock Infinite,1087,0
409710,BioShock Remastered,0,0
409720,BioShock 2 Remastered,0,0
222880,Insurgency,0,0
239160,Thief,0,0
254700,resident evil 4 / biohazard 4,186,0
201810,Wolfenstein: The New Order,1953,0
9480,Saints Row 2,1,0
55230,Saints Row: The Third,359,0
268420,Aura Kingdom,0,0
238010,Deus Ex: Human Revolution - Director's Cut,176,0
8080,Kane & Lynch: Dead Men,1,0
28000,Kane & Lynch 2: Dog Days,0,0
323370,TERA,45,0
257510,The Talos Principle,859,0
219150,Hotline Miami,680,0
274170,Hotline Miami 2: Wrong Number,607,0
341190,Hotline Miami 2: Wrong Number Digital Comic,0,0
202170,Sleeping Dogs™,2271,0
287290,Resident Evil Revelations 2 / Biohazard Revelations 2,0,0
383080,Sakura Clicker,4,0
335670,LISA,92,0
