item_id,item_name,playtime_forever,playtime_2weeks
280,Half-Life: Source,701,0
360,Half-Life Deathmatch: Source,207,0
10,Counter-Strike,27,0
30,Day of Defeat,0,0
40,Deathmatch Classic,0,0
60,Ricochet,0,0
80,Counter-Strike: Condition Zero,39,0
100,Counter-Strike: Condition Zero Deleted Scenes,345,0
2400,The Ship,511,0
2420,The Ship Single Player,368,0
2430,The Ship Tutorial,0,0
1520,DEFCON,89,0
2100,Dark Messiah of Might & Magic Single Player,230,0
2130,Dark Messiah of Might & Magic Multi-Player,0,0
4000,Garry's Mod,19285,491
6860,Hitman: Blood Money,3042,0
220,Half-Life 2,5826,0
320,Half-Life 2: Deathmatch,25,0
340,Half-Life 2: Lost Coast,395,0
380,Half-Life 2: Episode One,3090,0
400,Portal,1718,0
420,Half-Life 2: Episode Two,5176,0
11420,Clive Barker's Jericho,286,0
13200,Unreal II: The Awakening,833,0
17300,Crysis,1070,0
22300,Fallout 3,3402,0
12210,Grand Theft Auto IV,7986,0
18500,Defense Grid: The Awakening,348,0
9450,"Warhammer 40,000: Dawn of War – Soulstorm",177,0
22120,Penumbra: Black Plague,814,0
22140,Penumbra: Requiem,325,0
26500,Cogs,0,0
11390,Crash Time II,0,0
17450,Dragon Age: Origins,0,0
550,Left 4 Dead 2,6796,0
223530,Left 4 Dead 2 Beta,0,0
22370,Fallout 3 - Game of the Year Edition,4824,0
38700,Toki Tori,7,0
46410,Avencast,0,0
17410,Mirror's Edge,622,0
8930,Sid Meier's Civilization V,173,0
42960,Victoria II,169,0
8980,Borderlands,5019,0
72400,Clones,5,0
31280,Poker Night at the Inventory,701,0
40800,Super Meat Boy,169,0
4540,Titan Quest,30,0
475150,Titan Quest Anniversary Edition,0,0
42910,Magicka,248,0
73010,Cities in Motion,646,0
12120,Grand Theft Auto: San Andreas,679,0
12250,Grand Theft Auto: San Andreas,0,0
63710,BIT.TRIP RUNNER,227,0
92800,SpaceChem,275,0
44320,DiRT 3,0,0
321040,DiRT 3 Complete Edition,324,0
95300,Capsized,30,0
70000,Dino D-Day,299,0
620,Portal 2,1391,0
55110,Red Faction: Armageddon,0,0
249610,Galactic Arms Race,257,0
91200,Anomaly Warzone Earth,320,0
12150,Max Payne 2: The Fall of Max Payne,194,0
22000,World of Goo,0,0
91600,Sanctum,469,0
50130,Mafia II,1034,0
96100,Defy Gravity,242,0
58400,Turba,19,0
57800,Doc Clock: The Toasted Sandwich of Time,0,0
17710,Nuclear Dawn,287,0
200550,DUNGEONS - The Dark Lord (Steam Special Edition),0,0
3830,Psychonauts,591,0
70640,Worms,0,0
70660,Worms Pinball,0,0
71340,Sonic Generations,146,0
35700,Trine,171,0
72850,The Elder Scrolls V: Skyrim,17030,0
12100,Grand Theft Auto III,229,0
12230,Grand Theft Auto III,0,0
12200,Bully: Scholarship Edition,14,0
12130,Manhunt,155,0
6100,Eets,9,0
203810,Dear Esther,136,0
110800,L.A. Noire,0,0
205790,Dota 2 Test,0,0
300,Day of Defeat: Source,386,0
65300,Dustforce,477,0
48000,LIMBO,22,0
22380,Fallout: New Vegas,602,0
37400,"Time Gentlemen, Please!",0,0
37420,"Ben There, Dan That!",0,0
208090,Loadout,369,0
49600,Beat Hazard,331,0
96800,Nexuiz,141,0
216370,Nexuiz Beta,0,0
225760,Nexuiz STUPID Mode,0,0
204060,Superbrothers: Sword & Sworcery EP,29,0
211440,Adventures of Shuggy,17,0
7670,BioShock,2962,0
409710,BioShock Remastered,0,0
211360,Offspring Fling!,198,0
200010,Quantum Conundrum,28,0
98400,Hard Reset,180,72
204180,Waveform,210,0
207080,Indie Game: The Movie,262,0
213030,Penny Arcade's On the Rain-Slick Precipice of Darkness 3,8,0
214420,Gear Up,316,0
214790,The Basement Collection,140,0
113200,The Binding of Isaac,2356,0
207230,Archeblade,0,0
202170,Sleeping Dogs™,850,0
108700,Death Rally,6,0
72000,Closure,329,0
200510,XCOM: Enemy Unknown,171,0
218640,Lucius,257,0
220780,Thomas Was Alone,0,0
204360,Castle Crashers,1181,0
221260,Little Inferno,213,0
7510,X-Blades,173,0
220820,Zombie Driver HD,264,0
204630,Retro City Rampage™ DX,222,0
219150,Hotline Miami,1343,25
23490,Tropico 3 - Steam Special Edition,1,0
33520,Tropico,9,0
33530,Tropico 2: Pirate Cove,0,0
57600,Tropico 3: Absolute Power,1324,0
218740,Pid ,19,0
6850,Hitman 2: Silent Assassin,19,0
43110,Metro 2033,861,0
61600,Zen Bound® 2,23,0
209190,Stealth Bastard Deluxe,171,0
224420,Afterfall InSanity Extended Edition,373,0
12110,Grand Theft Auto: Vice City,1160,0
12240,Grand Theft Auto: Vice City,0,0
113020,Monaco,178,0
220823,Zombie Driver HD Apocalypse Pack,0,0
227200,Waking Mars,0,0
220700,RPG Maker VX Ace,1261,0
221380,Age of Empires II: HD Edition,2122,0
99900,Spiral Knights,2048,0
230410,Warframe,568,515
237310,Elsword,0,0
224260,No More Room in Hell,60,0
39140,FINAL FANTASY VII,2498,0
8870,BioShock Infinite,2295,0
57680,The First Templar,0,0
234190,Receiver,0,0
215690,Zeno Clash 2,171,0
238210,System Shock 2,1435,0
231740,Knights of Pen and Paper +1,259,0
8850,BioShock 2,3185,0
409720,BioShock 2 Remastered,0,0
9480,Saints Row 2,44,0
40390,Risen 2 - Dark Waters,178,0
55230,Saints Row: The Third,10041,0
225640,Sacred 2 Gold,0,0
241620,Inquisitor,0,0
219740,Don't Starve,4017,0
322330,Don't Starve Together,0,0
238320,Outlast,531,0
253370,Axis Game Factory's AGFPRO 3.0,0,0
253980,Enclave,257,0
259530,Savant - Ascent,0,0
260410,Get Off My Lawn!,0,0
263980,Out There Somewhere,285,0
266310,GameGuru,37,0
257750,Bloody Trapland,248,0
34820,Combat Wings: Battle of Britain,0,0
267940,Glacier 3: The Meltdown,0,0
267960,Hyper Fighters,0,0
267980,Hostile Waters: Antaeus Rising,317,0
235900,RPG Maker XP,1,0
268850,EVGA Precision XOC,3129,0
270942,Axis Game Factory's AGFPRO BattleMat Multi-Player DLC,0,0
271640,Humanity Asset,286,0
271670,10 Second Ninja,275,0
274900,Murder Miners,10,0
225840,Sven Co-op,273,0
222900,Dead Island: Epidemic,0,0
283230,Spoiler Alert,437,0
283290,Nosferatu: The Wrath of Malachi,236,0
283310,Soulbringer,0,0
283350,Eurofighter Typhoon,0,0
283430,Litil Divil,0,0
285580,ACE - Arena: Cyber Evolution,0,0
285840,Enemy Mind,259,0
286360,Shadows on the Vatican - Act I: Greed,282,0
287100,Chaos Domain,0,0
287120,Ionball 2 : Ionstorm,254,0
290730,My Lands,0,0
290930,Half-Life 2: Update,49,0
292390,Realms of the Haunting,0,0
293840,Cult of the Wind,0,0
283960,Pajama Sam in No Need to Hide When It's Dark Outside,2,0
292780,Pajama Sam 2: Thunder and Lightning Aren't So Frightening,0,0
292800,Pajama Sam 3: You Are What You Eat From Your Head To Your Feet,1,0
292820,Pajama Sam 4: Life Is Rough When You Lose Your Stuff!,0,0
292840,Pajama Sam's Sock Works,0,0
292860,Pajama Sam's Lost & Found,0,0
317020,Pajama Sam: Games to Play on Any Day,0,0
297020,The Culling Of The Cows,171,0
297290,Detective Case and Clown Bot in: Murder in the Hotel Lisbon,381,0
35450,Rising Storm/Red Orchestra 2 Multiplayer,171,0
236830,Red Orchestra 2: Heroes of Stalingrad - Single Player,71,0
298520,Orbital Gear,347,0
299460,Woodle Tree Adventures,177,0
266590,AGFPROV3 Premium,0,0
65790,Arma: Cold War Assault,0,0
304930,Unturned,974,0
305920,Another Perspective,0,0
8600,RACE 07,0,0
8660,GTR Evolution,0,0
211500,RaceRoom Racing Experience ,0,0
26800,Braid,0,0
63380,Sniper Elite V2,170,0
312990,The Expendabros,0,0
313240,Wilson Chronicles - Beta,0,0
315260,Space Hack,0,0
202090,Magicka: Wizard Wars,0,0
321480,Sigils of Elohim,0,0
24240,PAYDAY: The Heist,436,0
329020,Battlegrounds of Eldhelm,0,0
277950,Deadbreed®,432,0
338760,Death Ray Manta,264,0
345520,Infinite Crisis™,0,0
355530,Last Word,327,0
356670,Spooky's Jump Scare Mansion,179,0
47780,Dead Space 2,0,0
346680,Black Mesa Dedicated Server,0,0
362890,Black Mesa,2878,223
365720,Skyrim Script Extender (SKSE),1,0
365670,Blender 2.77,852,813
371390,Flix The Flea,454,0
378830,The Princess' Heart,291,0
387840,Alpha Runner,266,0
306040,The Howler,293,0
314020,Morphopolis,284,0
355150,Gravilon,291,0
392870,Attrition: Nuclear Domination,0,0
57300,Amnesia: The Dark Descent,213,0
15700,Oddworld: Abe's Oddysee,374,0
420740,The Deed,272,0
428430,Endorlight,0,0
432150,They Came From The Moon,0,0
310380,Fractured Space,0,0
447880,Beast Blaster,0,0
