item_id,item_name,playtime_forever,playtime_2weeks
4000,Garry's Mod,19,0
550,Left 4 Dead 2,0,0
223530,Left 4 Dead 2 Beta,0,0
12840,DiRT 2,34,0
620,Portal 2,18,0
91200,Anomaly Warzone Earth,0,0
105600,Terraria,0,0
72850,The Elder Scrolls V: Skyrim,60,0
730,Counter-Strike: Global Offensive,7820,0
204360,Castle Crashers,0,0
212160,Vindictus,83,0
216150,MapleStory,1673,0
252950,Rocket League,237,0
304270,Grand Chase,19,0
24240,PAYDAY: The Heist,0,0
252490,Rust,147,0
322330,Don't Starve Together,778,0
291550,Brawlhalla,43,0
