item_id,item_name,playtime_forever,playtime_2weeks
4000,Garry's Mod,10882,0
550,Left 4 Dead 2,634,0
223530,Left 4 Dead 2 Beta,0,0
24980,Mass Effect 2,880,0
17410,Mirror's Edge,6,0
12210,Grand Theft Auto IV,1219,0
12220,Grand Theft Auto: Episodes from Liberty City,1914,0
48180,Tom Clancy's H.A.W.X. 2,350,0
42910,Magicka,990,0
72850,The Elder Scrolls V: Skyrim,2446,0
205790,Dota 2 Test,0,0
108800,Crysis 2 Maximum Edition,0,0
214340,Deponia,302,0
49520,Borderlands 2,3930,0
202970,Call of Duty: Black Ops II,1654,0
202990,Call of Duty: Black Ops II - Multiplayer,541,0
212910,Call of Duty: Black Ops II - Zombies,45,0
219640,Chivalry: Medieval Warfare,1066,0
232210,Patch testing for Chivalry,0,0
224580,Arma 2: DayZ Mod,621,0
8930,Sid Meier's Civilization V,2117,0
33900,Arma 2,1,0
33930,Arma 2: Operation Arrowhead,251,0
65700,Arma 2: British Armed Forces,3,0
65720,Arma 2: Private Military Company,52,0
219540,Arma 2: Operation Arrowhead Beta (Obsolete),1,0
47790,Medal of Honor(TM) Single Player,0,0
47830,Medal of Honor(TM) Multiplayer,0,0
239820,Game Dev Tycoon,752,0
221100,DayZ,527,0
213670,South Park™: The Stick of Truth™,1436,0
301520,Robocraft,142,0
10,Counter-Strike,0,0
80,Counter-Strike: Condition Zero,0,0
100,Counter-Strike: Condition Zero Deleted Scenes,0,0
240,Counter-Strike: Source,0,0
730,Counter-Strike: Global Offensive,10484,0
