item_id,item_name,playtime_forever,playtime_2weeks
220,Half-Life 2,394,0
340,Half-Life 2: Lost Coast,0,0
4000,Garry's Mod,25166,0
7670,BioShock,76,0
409710,BioShock Remastered,0,0
550,Left 4 Dead 2,3215,0
223530,Left 4 Dead 2 Beta,0,0
8980,Borderlands,6136,0
31280,Poker Night at the Inventory,472,0
40800,Super Meat Boy,63,0
20920,The Witcher 2: Assassins of Kings Enhanced Edition,421,0
107100,Bastion,1133,0
65800,Dungeon Defenders,207,0
72850,The Elder Scrolls V: Skyrim,1466,0
57400,Batman: Arkham City™,1076,0
200260,Batman: Arkham City GOTY,65,65
205790,Dota 2 Test,0,0
22380,Fallout: New Vegas,337,0
41500,Torchlight,673,0
200710,Torchlight II,2769,0
113200,The Binding of Isaac,4580,0
730,Counter-Strike: Global Offensive,23237,62
204360,Castle Crashers,1478,0
99900,Spiral Knights,3061,0
109600,Neverwinter,0,0
230410,Warframe,1888,0
238960,Path of Exile,0,0
8870,BioShock Infinite,663,0
250760,Shovel Knight,386,0
250900,The Binding of Isaac: Rebirth,4433,0
205100,Dishonored,1280,0
49520,Borderlands 2,9113,0
262060,Darkest Dungeon,891,0
248820,Risk of Rain,3349,0
238460,BattleBlock Theater,139,0
237930,Transistor,313,0
304930,Unturned,10,0
311690,Enter the Gungeon,408,0
242680,Nuclear Throne,2216,0
291650,Pillars of Eternity,389,0
39120,RIFT,0,0
8850,BioShock 2,0,0
409720,BioShock 2 Remastered,0,0
292030,The Witcher 3: Wild Hunt,6,0
383230,Dungeon Souls,475,0
236110,Dungeon Defenders II,13,0
