posted,item_id,recommend,sentiment_analysis,steam_id
2011-11-05,1250,True,2,76561197970982479
2011-07-15,22200,True,2,76561197970982479
2011-04-21,43110,True,1,76561197970982479
2014-06-24,251610,True,2,76561198035864385
2013-09-08,227300,True,1,76561198035864385
2013-11-29,239030,True,1,76561198035864385
2016-02-03,248820,True,2,76561198007712555
2015-12-04,370360,True,2,76561198007712555
2014-11-03,237930,True,2,76561198007712555
2014-10-15,263360,True,0,76561198007712555
2014-10-15,107200,True,2,76561198007712555
2014-10-15,224500,True,2,76561198007712555
2013-10-14,250320,True,2,76561198002099482
2012-07-28,20920,True,2,76561198002099482
2012-06-02,204100,True,2,76561198002099482
2014-06-29,224600,True,2,76561198002099482
2012-11-22,207610,True,0,76561198002099482
2012-02-23,108710,True,2,76561198002099482
2014-04-15,211420,True,1,76561198026584251
2013-12-23,211820,True,1,76561198026584251
2014-03-14,730,True,2,76561198026584251
2013-07-11,204300,True,2,76561198026584251
2014-05-05,249130,True,0,76561198039117046
2012-12-24,207610,True,0,76561198039117046
2012-10-21,550,True,1,76561198039117046
2012-03-20,65800,True,0,76561198039117046
2012-03-09,220,True,2,76561198039117046
2016-05-20,730,True,1,76561198079601835
2016-07-24,730,True,1,76561198071532177
2015-02-01,72850,True,0,76561198089393905
2014-06-20,440,True,1,76561198089393905
2016-06-16,252950,True,2,76561198156664158
2016-06-11,440,True,1,76561198077246154
2014-08-25,304930,True,2,76561198077246154
2013-12-25,4000,True,1,76561198041660154
2012-06-23,42910,True,1,76561198010803705
2015-09-05,232090,True,1,76561198018556265
2015-03-30,1250,True,2,76561198018556265
2014-02-19,4000,True,2,76561198018556265
2014-07-14,304930,True,0,76561198026039330
2013-04-27,570,True,2,76561198026039330
2015-07-20,218620,True,2,76561198026039330
2013-11-04,224260,True,1,76561198026039330
2013-07-12,1250,True,2,76561198026039330
2012-08-19,440,True,1,76561198026039330
2015-06-19,730,True,2,76561198087659130
2014-09-20,440,True,2,76561198087659130
2014-09-07,49520,True,0,76561198087659130
2014-12-19,33440,False,0,76561198043472122
2015-02-17,220200,True,2,76561198062570934
2014-06-07,211820,True,1,76561198026157558
2014-02-12,440,True,2,76561198062380099
2014-02-09,218740,True,1,76561198062380099
2015-10-31,550,True,2,76561198062380099
2016-02-27,220,True,2,76561198037965617
2015-02-04,238090,True,2,76561198059648579
2016-08-23,242130,True,1,76561198059648579
2014-04-05,277430,True,1,76561198059648579
2015-01-08,8870,True,1,76561198058373434
2015-10-26,368230,True,0,76561198048353577
2016-05-16,4000,True,2,76561198048353577
2013-03-20,33930,True,1,76561198048353577
2015-12-28,359320,False,0,76561198066046412
2015-05-19,219640,True,2,76561198066046412
2015-12-15,287980,True,1,76561198071250884
2016-03-31,218620,True,1,76561198070565427
2015-08-21,208090,True,1,76561198070565427
2014-10-17,242700,True,1,76561198070565427
2014-06-27,570,False,1,76561198070565427
2014-04-28,224260,True,1,76561198070565427
2015-11-12,221100,True,2,76561198078235843
2014-06-18,570,True,0,76561198076909484
2014-11-20,331470,True,2,76561198129159264
2014-05-29,4000,True,1,76561198129159264
2016-07-09,323370,True,2,76561198305694024
2014-12-29,304930,True,2,76561198086431390
2015-02-13,12210,True,2,76561198054540475
2014-12-26,265210,True,1,76561198054540475
2014-02-04,48700,True,1,76561198054540475
2016-06-16,238460,True,2,76561198085547365
2016-06-16,34900,True,2,76561198085547365
2015-05-21,730,True,2,76561198061252210
2013-12-06,113200,True,1,76561198059361962
2014-05-12,440,True,2,76561198106550365
2015-08-24,383080,False,2,76561198106550365
2015-01-06,213670,True,1,76561198092825399
2015-12-22,105600,True,0,76561198083226897
2015-06-23,730,True,1,76561198075277292
2015-09-11,570,True,2,76561198075277292
2013-04-22,231180,True,2,76561198028895010
2012-05-27,620,True,2,76561198028895010
2016-01-18,271290,True,2,76561198170198366
2016-07-30,4000,True,2,76561198082027703
2016-07-28,317360,True,2,76561198082027703
2015-12-05,223710,True,1,76561198082027703
2015-10-04,299360,True,2,76561198082027703
2015-10-03,322330,True,2,76561198082027703
2015-08-13,1250,True,0,76561198082027703
2015-02-22,12100,True,1,76561198082027703
2015-01-14,204360,True,2,76561198082027703
2013-12-14,440,True,0,76561198082027703
2013-12-01,224260,True,1,76561198082027703
2012-02-11,440,True,2,76561197999173629
2016-02-20,304930,True,1,76561198078738103
2015-03-12,440,True,2,76561198067936203
2015-10-14,1840,True,2,76561198079770573
2013-10-27,440,True,2,76561198087586464
2015-11-27,440,True,2,76561198045022050
2014-10-09,233250,True,0,76561198070194565
2016-05-07,449140,True,2,76561198070194565
2016-05-07,368730,True,0,76561198070194565
2016-04-04,246280,True,2,76561198070194565
2016-03-30,427270,True,2,76561198070194565
2016-03-28,397100,True,2,76561198070194565
2015-11-09,248570,True,0,76561198070194565
2015-12-23,298630,True,1,76561198104187800
2014-05-06,244210,True,1,76561198053985682
2015-12-02,440,True,0,76561198053985682
2015-06-06,376920,True,2,76561198053985682
2015-09-29,257750,True,1,76561198053985682
2014-09-08,221910,True,0,76561198053985682
2013-12-15,2280,True,2,76561198053985682
2015-11-23,417860,False,1,76561198052850911
2014-06-01,218620,True,2,76561198138053270
2014-07-11,218620,True,1,76561198056696376
2014-11-14,222880,True,1,76561198056696376
2015-11-13,377160,True,2,76561198065991640
2013-12-15,211820,True,1,76561198065991640
