posted,item_id,recommend,review
2014-04-14,272350,True,OMG FUN :D
2014-08-20,227700,True,to be honest guys.......this game is pretty amazing too me so welll yea get it ^^ 7/10
2014-01-05,218620,True,fun fun fun and fun again :D not so good at it since i shoot all the civilians but yolo :D if u got the money i rocomend this game :P
2013-12-27,550,True,take ur rage out at these zombies with a shotgun it will help ^^ trust me if ur scared u wont be after u get tounged by a zombie and realize how retared the zombies are ^^
2013-10-14,440,True,this is an awesome game u should get tuns of diffrent wepons and just so fun with all the classes to stuff around with getting hats and misc is fun but hard
2014-08-13,207230,True,boobs butt=yay!
2014-04-02,570,True,its fun that's all i can say :)
2014-02-23,39120,True,its a really fun game :D
2014-02-01,221100,True,when u start u will have troubles with controls but once u start to get the hang of it then its time to go start getting killed if ur lucky enough u will find a shovel or gun backpack beanie etc i think its fun so get it if u want
2014-01-09,31220,True,its fun but hardim max so get it  it is a game based on being a detective while ur partner max has super powas if u have the money get it :)
