posted,item_id,recommend,review
2014-07-07,730,True,esase jogo é loco
2016-01-15,218620,True,THE BEST GAME EVER
2016-02-28,104900,True,O jogo é otimo alem de barato!Adorei recomendo muito
2016-01-14,322170,True,"É um jogo muito divertido tirei horas de diversão , as vezes pode ser irritante    RECOMENDO A TODOS!"
2016-01-04,209870,True,Um jogo gratis otimo Graficos : achei bomJogabilidade : AdoreiDiversao: é muitoe o BOM para rodar esse jogo nao precisa de PC bom  A D O R E IESSE JOGO É MARAVILHOSO
2015-12-27,238460,True,é um jogo extremamente divertido
2015-12-16,238960,True,"Muito bom esse jogo , adoro MMO , eu recomendo esse jogo a todos !"
2014-08-10,440,True,muito bom jogo poderia ter uma garota pra escolher nas classes podia fazer um filme a valve né : 3
2014-04-18,51100,True,esse jogo é muitom bom! paresse counter strike soucer ! dou 5 estrelas para esse jogo :) belo
2014-01-27,224260,True,eu recomendo é muito legal grafico otimo jobalidade mais ou menos mais o multiplayer  é o melhor de todos
