posted,item_id,recommend,review
2016-05-24,364360,True,Orcs are pretty fun
2014-06-01,22380,True,Cup of noodles
2014-06-01,6020,True,Be a jedi and kill people who dont speak your language
2014-09-16,224260,True,Zombie children punch you in the balls and you die 10/10 would get punched again
2014-01-25,221100,True,eh
2014-06-01,35450,True,Need to do the banzai
2016-02-18,246620,True,Damn New Zealand didn't want Obama's promises
2013-06-01,105600,True,Dis game is good
2013-02-09,4000,True,"This game is good so here is a pancake recipe Ingredients:1 3/4 cup milk2 eggs1 teaspoon vanilla essence2 cups self-raising flour1/3 cup caster sugarSelect all ingredientsSteps:Step 1Whisk milk, eggs and vanilla together in a jug. Sift flour into a large bowl. Stir in sugar. Make a well in the centre. Add milk mixture. Whisk until just combined.Step 2Heat a large non-stick frying pan over medium heat. Spray with cooking oil. Using 1/4 cup mixture per pancake, cook 2 pancakes for 2 minutes or until bubbles appear on surface. Turn and cook for a further 1-2 minutes or until cooked through. Transfer to a plate. Cover loosely with foil to keep warm. Repeat with remaining mixture, spraying pan with cooking oil between batches."
2014-06-01,211820,False,Wanted to like it but i just found it boring
